ProcesoSancionId,Expediente,ProcesoSancionTipoNombre,ProcesoSancionEstado,FechaInicio,FechaTermino,ConfirmaPdC,MultaTotalUTA,LinkSNIFA,UnidadFiscalizableId,Nombre,RegionNombre,ComunaNombre,Latitud,Longitud,CategoriaEconomicaNombre,SubCategoriaEconomicaNombre,LinkSNIFA_UF,FechaActualizacion,DuracionDias
2,F-002-2013,Fiscalización,Terminado - Sanción,2013-04-01,2013-08-13,No,94.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/2                             ,162,MALL PLAZA EGAÑA - LA REINA,Región Metropolitana,La Reina,-33.453,-70.57,Equipamiento,Centro comercial,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/162                           ,2026-09-12,134.0
4,D-004-2013,Denuncia,Terminado - Sanción,2013-05-02,2013-10-11,No,25.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/4                             ,2488,VERTEDERO DICHAM,Región de los Lagos,Chonchi,-42.6271413736787,-73.8412979119647,Saneamiento Ambiental,Vertedero,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2488                          ,2026-09-12,162.0
9,D-003-2013,Denuncia,Terminado - Sanción,2013-03-13,2013-08-19,No,12.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/9                             ,10211,ALIMENTOS RILA,Región de Arica y Parinacota,Arica,-18.3984,-70.2906,Agroindustrias,Planta procesadora de productos agrícolas,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/10211                         ,2026-09-12,159.0
12,D-005-2013,Denuncia,Terminado - Sanción,2013-06-03,2015-03-26,No,1.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/12                            ,307,PLANTA PROCESADORA DE PRODUCTOS DEL MAR,Región de Arica y Parinacota,Arica,-18.3947,-70.2945,Pesca y Acuicultura,Elaboración y procesado de recursos hidrobiológicos,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/307                           ,2026-09-12,661.0
13,F-007-2013,Fiscalización,Terminado - Sanción,2013-06-03,2013-11-27,No,865.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/13                            ,2435,REFINERIA ENAP BIOBIO,Región del Biobío,Hualpén,-36.7753266,-73.1168416,Instalación fabril,Planta de Refinería,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2435                          ,2026-09-12,177.0
16,F-009-2013,Fiscalización,Terminado - Sanción,2013-06-05,2013-11-15,No,38.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/16                            ,2455,PLANTEL LECHERO-ANCALI,Región del Biobío,Los Ángeles,-37.5905,-72.2995,Agroindustrias,Elaboración de productos lácteos,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2455                          ,2026-09-12,163.0
17,F-010-2013,Fiscalización,Terminado - Sanción,2013-06-07,2013-07-29,No,132.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/17                            ,1615,PUERTO VENTANAS,Región de Valparaíso,Puchuncaví,-32.753152,-71.479373,Infraestructura Portuaria,Terminal marítimo,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/1615                          ,2026-09-12,52.0
20,D-007-2013,Denuncia,Terminado - Sanción,2013-06-10,2014-01-17,No,6.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/20                            ,13290,EDIFICIOCONSTRUCTORA INARCO S.A.,Región Metropolitana,Recoleta,-33.4319422,-70.6388136,Vivienda e Inmobiliarios,Edificio Habitacional,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13290                         ,2026-09-12,221.0
22,D-010-2013,Denuncia,Terminado - Sanción,2013-06-10,2013-12-30,No,20.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/22                            ,13319,SERVICIOSTELEFONICA CHILE S.A.,Región del Libertador General Bernardo O'Higgins,Rancagua,-34.1667754,-70.7457414,Otras categorías,Servicios,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13319                         ,2026-09-12,203.0
23,D-001-2013,Denuncia,Terminado - Sanción,2013-03-06,2013-10-15,No,59.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/23                            ,13343,MINERA NO METÁLICAÁRIDOS EN PARCELA PANGUECO SECTOR CHACAICO,Región de la Araucanía,Angol,-37.871,-72.6862,Minería,Áridos,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13343                         ,2026-09-12,223.0
26,F-011-2013,Fiscalización,Terminado - Sanción,2013-07-01,2022-09-20,No,21.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/26                            ,2470,PTAS TEMUCO,Región de la Araucanía,Temuco,-38.7602735384694,-72.7086698231539,Saneamiento Ambiental,Planta de Tratamiento de Aguas Servidas,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2470                          ,2026-09-12,3368.0
27,D-011-2013,Denuncia,Terminado - Sanción,2013-07-12,2017-06-01,No,2326.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/27                            ,1344,MINERA LOS PELAMBRES,Región de Coquimbo,Illapel,-31.7426,-70.4956,Minería,Minera metálica,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/1344                          ,2026-09-12,1420.0
28,F-013-2013,Fiscalización,Terminado - Sanción,2013-07-30,2014-02-13,No,193.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/28                            ,2594,PASO FRONTERIZO CHUNGARA,Región de Arica y Parinacota,Putre,-18.2813954312374,-69.1376762472884,Otras categorías,Actividades y/o proyectos en sitios protegidos,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2594                          ,2026-09-12,198.0
33,D-012-2013,Denuncia,Terminado - Sanción,2013-08-13,2015-05-07,No,440.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/33                            ,1338,RUTA D-705 SECTOR: ILLAPEL-AUCO-LOS POZOS IV REGION,Región de Coquimbo,Canela,-31.5171,-71.097,Infraestructura de Transporte,Vía terrestre,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/1338                          ,2026-09-12,632.0
35,F-017-2013,Fiscalización,Terminado - Sanción,2013-08-16,2013-12-04,No,17.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/35                            ,2797,ALIMENTOS FRUNA LTDA.,Región Metropolitana,Isla de Maipo,-33.7186,-70.9197,Agroindustrias,Planta procesadora de productos agrícolas,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2797                          ,2026-09-12,110.0
38,D-014-2013,Denuncia,Terminado - Sanción,2013-08-29,2014-11-24,No,175.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/38                            ,1849,PLANTA DE RECICLAJE DE BATERIAS  EMASA TECNOREC,Región de Valparaíso,San Antonio,-33.5665893974071,-71.5598279312134,Instalación fabril,Reciclaje de residuos y sustancias peligrosas,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/1849                          ,2026-09-12,452.0
39,D-015-2013,Denuncia,Terminado - Sanción,2013-08-29,2015-03-27,No,8640.400000000001,https://snifa.sma.gob.cl/Sancionatorio/Ficha/39                            ,2436,CT BOCAMINA,Región del Biobío,Coronel,-37.022789,-73.16584,Energía,Central termoeléctrica,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2436                          ,2026-09-12,575.0
41,D-016-2013,Denuncia,Terminado - Sanción,2013-09-06,2018-04-18,No,398.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/41                            ,2603,KINROSS -REFUGIO,Región de Atacama,Tierra Amarilla,-27.5677,-69.2679,Minería,Minera metálica,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2603                          ,2026-09-12,1685.0
43,F-019-2013,Fiscalización,Terminado - Sanción,2013-09-10,2014-08-29,No,5299.4,https://snifa.sma.gob.cl/Sancionatorio/Ficha/43                            ,1610,MINA EL SOLDADO,Región de Valparaíso,Nogales,-32.666912,-71.169739,Minería,Minera metálica,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/1610                          ,2026-09-12,353.0
44,D-017-2013,Denuncia,Terminado - Sanción,2013-09-11,2017-06-27,No,3575.9,https://snifa.sma.gob.cl/Sancionatorio/Ficha/44                            ,11166,MINERA PAMPA CAMARONES,Región de Arica y Parinacota,Camarones,-18.922242,-70.230519,Minería,Minera metálica,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/11166                         ,2026-09-12,1385.0
46,D-019-2013,Denuncia,Terminado - Sanción,2013-09-13,2014-09-02,No,1.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/46                            ,13327,EDIFICIOTERRAZA TOESCA,Región Metropolitana,Santiago,-33.4549298,-70.6628963,Vivienda e Inmobiliarios,Edificio Habitacional,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13327                         ,2026-09-12,354.0
50,D-020-2013,Denuncia,Terminado - Sanción,2013-09-25,2014-02-07,No,304.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/50                            ,220,CERDOS PORKLAND,Región Metropolitana,Til til,-32.930183,-70.822776,Agroindustrias,Plantel de cerdos,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/220                           ,2026-09-12,135.0
51,F-024-2013,Fiscalización,Terminado - Sanción,2013-09-27,2014-09-12,No,253.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/51                            ,233,GENERADORA METROPOLITANA SPA CENTRAL NUEVA RENCA (EX AES GENER S.A. - CENTRAL RENCA),Región Metropolitana,Renca,-33.4167,-70.6874,Energía,Central termoeléctrica,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/233                           ,2026-09-12,350.0
